Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,,,,,,,,,,0.0,,,,,,,0.28901734104046245,,,
2,,,0.33035714285714285,,,,,0.1702127659574468,0.3246753246753247,0.0,,,,0.0297029702970297,,,0.28901734104046245,,,
3,0.09734513274336283,,0.33035714285714285,,,,,0.1702127659574468,0.3246753246753247,0.0,,,,0.0297029702970297,,,0.28901734104046245,0.12987012987012986,0.24293785310734464,
4,0.09734513274336283,,0.33035714285714285,,0.14432989690721648,,,0.1702127659574468,0.3246753246753247,0.11570247933884298,,,,0.0297029702970297,,,0.28901734104046245,0.24242424242424243,0.07344632768361582,0.2777777777777778
5,0.09734513274336283,,0.08035714285714286,0.03289473684210526,0.14432989690721648,,,0.1702127659574468,0.2662337662337662,0.11570247933884298,,0.6075949367088608,,0.43564356435643564,,,0.28901734104046245,0.24242424242424243,0.07344632768361582,0.2777777777777778
6,0.09734513274336283,0.2532467532467532,0.42857142857142855,0.2236842105263158,0.14432989690721648,0.17857142857142858,,0.14042553191489363,0.2662337662337662,0.11570247933884298,,0.6075949367088608,,0.43564356435643564,0.3574660633484163,,0.28901734104046245,0.24242424242424243,0.07344632768361582,0.2777777777777778
7,0.09734513274336283,0.2532467532467532,0.42857142857142855,0.13157894736842105,0.14432989690721648,0.17857142857142858,,0.14042553191489363,0.2662337662337662,0.11570247933884298,,0.6075949367088608,,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.24242424242424243,0.07344632768361582,0.2777777777777778
8,0.09734513274336283,0.2532467532467532,0.42857142857142855,0.13157894736842105,0.14432989690721648,0.17857142857142858,,0.14042553191489363,0.24675324675324675,0.11570247933884298,,0.6075949367088608,,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.24242424242424243,0.2542372881355932,0.2777777777777778
9,0.09734513274336283,0.2532467532467532,0.42857142857142855,0.13157894736842105,0.14432989690721648,0.2857142857142857,,0.14042553191489363,0.17532467532467533,0.512396694214876,,0.6075949367088608,0.1640625,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.3333333333333333,0.2542372881355932,0.4365079365079365
10,0.09734513274336283,0.2532467532467532,0.09821428571428571,0.13157894736842105,0.5257731958762887,0.2857142857142857,0.29533678756476683,0.14042553191489363,0.17532467532467533,0.512396694214876,,0.6075949367088608,0.1640625,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.3333333333333333,0.3163841807909605,0.4365079365079365
11,0.09734513274336283,0.2532467532467532,0.5446428571428571,0.13157894736842105,0.5257731958762887,0.2857142857142857,0.29533678756476683,0.14042553191489363,0.17532467532467533,0.512396694214876,,0.6075949367088608,0.1640625,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.3333333333333333,0.3163841807909605,0.4365079365079365
12,0.09734513274336283,0.34415584415584416,0.5446428571428571,0.13157894736842105,0.5257731958762887,0.2857142857142857,0.29533678756476683,0.14042553191489363,0.17532467532467533,0.512396694214876,,0.6075949367088608,0.171875,0.43564356435643564,0.2895927601809955,,0.4277456647398844,0.3333333333333333,0.2542372881355932,0.4365079365079365
13,0.09734513274336283,0.34415584415584416,0.5446428571428571,0.13157894736842105,0.38144329896907214,0.2857142857142857,0.29533678756476683,0.225531914893617,0.17532467532467533,0.21487603305785125,0.28378378378378377,0.6075949367088608,0.171875,0.43564356435643564,0.4117647058823529,,0.4277456647398844,0.3333333333333333,0.2542372881355932,0.5
14,0.09734513274336283,0.34415584415584416,0.5446428571428571,0.13157894736842105,0.38144329896907214,0.2857142857142857,0.22279792746113988,0.225531914893617,0.38961038961038963,0.21487603305785125,0.28378378378378377,0.6075949367088608,0.171875,0.43564356435643564,0.4117647058823529,,0.4277456647398844,0.3333333333333333,0.2542372881355932,0.5
15,0.09734513274336283,0.45454545454545453,0.5446428571428571,0.13157894736842105,0.38144329896907214,0.2857142857142857,0.22279792746113988,0.3191489361702128,0.38961038961038963,0.21487603305785125,0.28378378378378377,0.6075949367088608,0.171875,0.43564356435643564,0.4117647058823529,0.34710743801652894,0.4277456647398844,0.3203463203463203,0.2542372881355932,0.5
16,0.17699115044247787,0.45454545454545453,0.5446428571428571,0.13157894736842105,0.38144329896907214,0.2767857142857143,0.22279792746113988,0.3191489361702128,0.38961038961038963,0.5206611570247934,0.28378378378378377,0.6075949367088608,0.171875,0.43564356435643564,0.3167420814479638,0.34710743801652894,0.4277456647398844,0.3203463203463203,0.20903954802259886,0.3968253968253968
17,0.17699115044247787,0.45454545454545453,0.5446428571428571,0.13157894736842105,0.38144329896907214,0.2767857142857143,0.22279792746113988,0.42127659574468085,0.38961038961038963,0.18181818181818182,0.28378378378378377,0.6075949367088608,0.359375,0.39603960396039606,0.3167420814479638,0.3140495867768595,0.4277456647398844,0.3203463203463203,0.3898305084745763,0.3968253968253968
