,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1
2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
3,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
5,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
6,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1
7,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
8,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1
9,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0
10,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0
11,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
12,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
13,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
14,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0
15,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0
16,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1
17,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
18,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0
19,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
20,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1
21,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1
22,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
23,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
24,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
25,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1
26,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
27,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
28,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
29,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1
30,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0
31,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
32,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1
33,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1
34,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1
35,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
36,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0
37,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
38,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1
39,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1
40,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
41,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0
42,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1
43,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
44,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1
45,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0
46,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
47,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
48,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
49,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1
50,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
