,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0
2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
5,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1
6,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0
7,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0
8,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
9,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
10,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
11,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
12,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
13,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0
14,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0
15,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
16,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0
17,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
18,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1
19,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
21,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
22,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0
23,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0
24,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
25,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
26,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0
27,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1
28,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0
30,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
31,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
32,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
33,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0
34,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
35,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
36,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
37,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0
38,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0
39,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0
41,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0
42,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
43,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
44,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
45,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0
46,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0
47,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0
48,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0
49,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
50,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
