Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.108,0.11,0.1,0.104,0.1,0.104,0.104,0.114,0.106,0.104,0.114,0.114,0.11,0.1,0.112,0.106,0.112,0.1,0.106,0.102
2,0.186,0.164,0.162,0.172,0.162,0.176,0.162,0.178,0.184,0.168,0.156,0.178,0.174,0.156,0.152,0.158,0.188,0.192,0.178,0.196
3,0.182,0.164,0.186,0.176,0.192,0.168,0.186,0.17,0.18,0.172,0.172,0.184,0.18,0.162,0.186,0.162,0.178,0.19,0.174,0.17
4,0.22,0.242,0.256,0.252,0.226,0.21,0.226,0.228,0.248,0.234,0.242,0.23,0.214,0.242,0.208,0.254,0.224,0.22,0.228,0.252
5,0.296,0.284,0.286,0.234,0.274,0.272,0.266,0.272,0.314,0.28,0.274,0.284,0.298,0.27,0.258,0.264,0.278,0.28,0.278,0.264
6,0.312,0.298,0.328,0.306,0.29,0.344,0.326,0.32,0.306,0.31,0.308,0.258,0.312,0.292,0.318,0.324,0.288,0.324,0.334,0.268
7,0.304,0.336,0.34,0.34,0.316,0.346,0.322,0.324,0.348,0.35,0.316,0.296,0.334,0.284,0.346,0.32,0.326,0.34,0.314,0.33
8,0.364,0.376,0.354,0.328,0.35,0.356,0.32,0.368,0.35,0.352,0.334,0.34,0.384,0.372,0.354,0.356,0.34,0.346,0.36,0.34
9,0.37,0.396,0.378,0.366,0.4,0.358,0.368,0.364,0.38,0.388,0.348,0.362,0.392,0.416,0.386,0.376,0.4,0.4,0.358,0.366
10,0.418,0.396,0.428,0.378,0.392,0.372,0.396,0.412,0.398,0.4,0.412,0.392,0.394,0.414,0.408,0.384,0.412,0.384,0.392,0.378
11,0.432,0.442,0.39,0.422,0.42,0.406,0.412,0.406,0.402,0.4,0.426,0.434,0.384,0.434,0.42,0.396,0.404,0.448,0.424,0.414
12,0.428,0.448,0.418,0.412,0.444,0.426,0.442,0.44,0.408,0.442,0.426,0.41,0.452,0.396,0.46,0.436,0.464,0.42,0.434,0.458
13,0.39,0.446,0.472,0.454,0.468,0.452,0.444,0.464,0.44,0.432,0.428,0.434,0.428,0.462,0.438,0.466,0.434,0.47,0.43,0.464
14,0.454,0.458,0.46,0.42,0.432,0.456,0.442,0.478,0.448,0.432,0.446,0.49,0.474,0.47,0.484,0.444,0.466,0.47,0.456,0.438
15,0.438,0.476,0.478,0.452,0.456,0.444,0.512,0.472,0.486,0.46,0.476,0.472,0.492,0.466,0.47,0.47,0.46,0.504,0.448,0.484
16,0.474,0.466,0.508,0.478,0.452,0.506,0.488,0.442,0.498,0.456,0.492,0.522,0.448,0.466,0.486,0.486,0.482,0.484,0.476,0.472
17,0.482,0.526,0.512,0.482,0.506,0.464,0.484,0.498,0.464,0.478,0.486,0.504,0.45,0.514,0.482,0.506,0.486,0.49,0.468,0.452
18,0.482,0.51,0.526,0.474,0.492,0.494,0.498,0.518,0.488,0.516,0.532,0.47,0.484,0.478,0.496,0.522,0.474,0.48,0.466,0.474
19,0.49,0.472,0.54,0.53,0.5,0.528,0.488,0.474,0.508,0.504,0.502,0.482,0.514,0.482,0.478,0.5,0.502,0.496,0.5,0.54
20,0.53,0.5,0.488,0.486,0.5,0.504,0.478,0.532,0.512,0.54,0.494,0.504,0.512,0.526,0.5,0.504,0.522,0.524,0.498,0.542
21,0.514,0.516,0.49,0.524,0.542,0.51,0.496,0.506,0.522,0.488,0.524,0.522,0.546,0.522,0.512,0.534,0.476,0.504,0.548,0.508
22,0.508,0.494,0.522,0.496,0.51,0.546,0.502,0.516,0.516,0.55,0.548,0.478,0.512,0.51,0.546,0.534,0.524,0.524,0.524,0.55
23,0.492,0.526,0.546,0.52,0.548,0.526,0.552,0.526,0.558,0.51,0.512,0.534,0.544,0.51,0.554,0.526,0.542,0.51,0.524,0.52
24,0.52,0.5,0.488,0.516,0.51,0.556,0.528,0.54,0.538,0.568,0.566,0.542,0.558,0.534,0.52,0.508,0.528,0.534,0.56,0.53
25,0.53,0.57,0.546,0.504,0.494,0.528,0.546,0.548,0.562,0.556,0.514,0.524,0.52,0.532,0.52,0.56,0.528,0.518,0.556,0.536
26,0.558,0.542,0.556,0.532,0.568,0.564,0.514,0.574,0.542,0.528,0.508,0.544,0.508,0.546,0.516,0.528,0.516,0.536,0.58,0.548
27,0.578,0.554,0.554,0.522,0.534,0.57,0.542,0.532,0.574,0.536,0.522,0.546,0.56,0.552,0.558,0.546,0.5,0.578,0.518,0.518
28,0.564,0.55,0.556,0.534,0.532,0.576,0.546,0.548,0.522,0.558,0.53,0.512,0.572,0.544,0.55,0.522,0.584,0.502,0.542,0.552
29,0.528,0.572,0.5,0.532,0.57,0.566,0.578,0.548,0.558,0.59,0.564,0.518,0.542,0.58,0.548,0.54,0.566,0.532,0.556,0.548
30,0.504,0.566,0.586,0.592,0.538,0.564,0.55,0.538,0.556,0.528,0.544,0.58,0.55,0.548,0.57,0.542,0.574,0.554,0.552,0.572
