Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,,0.1,0.1,,,,,0.1,,,,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1
2,,0.114,0.11,0.102,,,0.108,0.11,0.114,0.108,,0.112,0.108,0.1,0.11,0.106,0.094,0.11,0.116,0.104
3,,0.194,0.226,0.22,0.214,0.216,0.226,0.194,0.114,0.108,0.228,0.2,0.212,0.1,0.11,0.222,0.21,0.196,0.116,0.104
4,,0.194,0.242,0.186,0.194,0.23,0.226,0.176,0.114,0.108,0.228,0.2,0.212,0.178,0.11,0.188,0.21,0.196,0.116,0.104
5,0.258,0.246,0.288,0.26,0.238,0.23,0.226,0.252,0.302,0.108,0.258,0.2,0.212,0.252,0.11,0.238,0.21,0.268,0.26,0.104
6,0.308,0.284,0.288,0.302,0.238,0.23,0.284,0.264,0.324,0.108,0.272,0.298,0.278,0.252,0.11,0.25,0.21,0.3,0.292,0.104
7,0.314,0.31,0.33,0.32,0.316,0.336,0.284,0.264,0.348,0.108,0.272,0.316,0.312,0.318,0.322,0.25,0.322,0.3,0.316,0.104
8,0.314,0.31,0.33,0.334,0.338,0.37,0.338,0.326,0.348,0.364,0.272,0.352,0.312,0.358,0.362,0.25,0.36,0.354,0.342,0.366
9,0.352,0.378,0.394,0.334,0.338,0.388,0.366,0.326,0.38,0.364,0.272,0.396,0.344,0.382,0.362,0.344,0.388,0.364,0.368,0.366
10,0.386,0.378,0.386,0.334,0.378,0.388,0.392,0.37,0.384,0.392,0.418,0.396,0.37,0.392,0.362,0.366,0.418,0.39,0.368,0.39
11,0.386,0.402,0.414,0.396,0.378,0.388,0.402,0.37,0.404,0.412,0.448,0.396,0.384,0.392,0.362,0.398,0.418,0.39,0.406,0.39
12,0.386,0.402,0.414,0.416,0.392,0.388,0.402,0.388,0.404,0.412,0.442,0.434,0.392,0.392,0.362,0.418,0.418,0.43,0.43,0.422
13,0.386,0.402,0.414,0.426,0.392,0.452,0.402,0.396,0.404,0.412,0.46,0.434,0.408,0.392,0.404,0.424,0.418,0.43,0.43,0.422
14,0.386,0.402,0.432,0.44,0.392,0.466,0.402,0.396,0.438,0.442,0.468,0.434,0.426,0.446,0.404,0.43,0.418,0.458,0.43,0.422
15,0.386,0.402,0.432,0.44,0.392,0.466,0.456,0.416,0.438,0.442,0.468,0.434,0.432,0.446,0.45,0.43,0.418,0.462,0.444,0.456
16,0.458,0.428,0.454,0.44,0.432,0.466,0.462,0.416,0.456,0.442,0.468,0.434,0.442,0.466,0.464,0.43,0.494,0.462,0.444,0.456
17,0.458,0.452,0.45,0.462,0.432,0.49,0.472,0.416,0.462,0.442,0.502,0.476,0.442,0.482,0.464,0.474,0.492,0.484,0.444,0.488
18,0.458,0.468,0.45,0.442,0.472,0.49,0.488,0.416,0.486,0.442,0.502,0.48,0.442,0.482,0.464,0.474,0.492,0.484,0.444,0.488
19,0.486,0.456,0.47,0.442,0.466,0.49,0.514,0.416,0.486,0.476,0.502,0.498,0.478,0.488,0.464,0.47,0.492,0.484,0.444,0.492
20,0.496,0.456,0.478,0.442,0.462,0.49,0.508,0.446,0.478,0.476,0.502,0.498,0.478,0.488,0.464,0.49,0.516,0.484,0.466,0.492
21,0.482,0.482,0.478,0.47,0.48,0.504,0.508,0.446,0.478,0.486,0.53,0.5,0.478,0.496,0.464,0.49,0.53,0.484,0.486,0.492
22,0.5,0.49,0.478,0.47,0.494,0.504,0.524,0.446,0.478,0.486,0.524,0.5,0.478,0.496,0.51,0.49,0.53,0.506,0.486,0.492
23,0.5,0.49,0.484,0.464,0.49,0.504,0.524,0.468,0.522,0.506,0.524,0.5,0.478,0.524,0.51,0.49,0.53,0.52,0.486,0.528
24,0.5,0.508,0.488,0.464,0.49,0.504,0.546,0.474,0.522,0.534,0.524,0.508,0.478,0.524,0.504,0.49,0.53,0.52,0.488,0.522
25,0.5,0.508,0.488,0.478,0.496,0.522,0.546,0.472,0.522,0.534,0.56,0.508,0.532,0.524,0.504,0.498,0.54,0.522,0.488,0.522
26,0.512,0.508,0.488,0.478,0.496,0.522,0.568,0.48,0.522,0.54,0.566,0.528,0.532,0.524,0.504,0.498,0.564,0.522,0.502,0.552
27,0.512,0.546,0.496,0.478,0.496,0.54,0.568,0.472,0.532,0.54,0.566,0.518,0.532,0.552,0.516,0.498,0.564,0.522,0.502,0.552
28,0.512,0.542,0.516,0.502,0.496,0.544,0.57,0.472,0.536,0.56,0.574,0.518,0.53,0.552,0.528,0.538,0.562,0.538,0.514,0.554
29,0.53,0.556,0.518,0.508,0.518,0.542,0.562,0.472,0.536,0.56,0.574,0.518,0.53,0.552,0.544,0.538,0.56,0.546,0.514,0.554
30,0.53,0.556,0.532,0.508,0.518,0.554,0.562,0.5,0.536,0.566,0.574,0.518,0.546,0.552,0.554,0.54,0.56,0.546,0.514,0.566
