Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,,0.126,,0.13,,,0.132,0.128,,0.134,,0.132,0.116,,,0.132,,0.114,0.116,
2,,0.128,,0.14,0.138,,0.132,0.146,0.14,0.144,0.138,0.148,0.114,,,0.152,0.134,0.126,0.134,
3,,0.18,,0.186,0.184,,0.19,0.19,0.196,0.194,0.138,0.192,0.178,0.208,0.192,0.152,0.158,0.166,0.134,0.174
4,,0.244,,0.27,0.27,0.276,0.264,0.19,0.286,0.27,0.254,0.25,0.25,0.248,0.284,0.152,0.26,0.166,0.264,0.254
5,0.288,0.296,,0.306,0.288,0.3,0.292,0.284,0.286,0.27,0.254,0.25,0.302,0.298,0.29,0.276,0.26,0.166,0.28,0.284
6,0.288,0.302,,0.324,0.306,0.33,0.292,0.296,0.356,0.312,0.324,0.33,0.336,0.318,0.322,0.3,0.33,0.306,0.312,0.318
7,0.316,0.324,0.352,0.324,0.336,0.33,0.358,0.32,0.378,0.344,0.324,0.348,0.368,0.376,0.362,0.332,0.35,0.332,0.344,0.356
8,0.352,0.348,0.352,0.332,0.336,0.376,0.376,0.32,0.378,0.344,0.376,0.38,0.406,0.39,0.382,0.362,0.35,0.332,0.344,0.398
9,0.368,0.348,0.386,0.332,0.376,0.412,0.376,0.36,0.378,0.392,0.376,0.408,0.406,0.396,0.382,0.374,0.408,0.332,0.344,0.398
10,0.384,0.364,0.414,0.332,0.392,0.438,0.376,0.36,0.378,0.392,0.376,0.408,0.406,0.414,0.408,0.416,0.408,0.424,0.344,0.432
11,0.404,0.364,0.414,0.396,0.392,0.428,0.456,0.36,0.406,0.392,0.446,0.408,0.4,0.414,0.408,0.416,0.436,0.424,0.41,0.44
12,0.404,0.4,0.414,0.422,0.412,0.458,0.452,0.36,0.432,0.392,0.442,0.408,0.416,0.438,0.43,0.416,0.436,0.446,0.41,0.468
13,0.418,0.4,0.442,0.426,0.454,0.458,0.484,0.36,0.432,0.454,0.484,0.47,0.43,0.448,0.43,0.448,0.468,0.444,0.41,0.476
14,0.418,0.4,0.442,0.442,0.454,0.474,0.49,0.36,0.432,0.474,0.484,0.482,0.434,0.464,0.43,0.448,0.468,0.444,0.446,0.486
15,0.418,0.43,0.48,0.452,0.454,0.474,0.49,0.36,0.432,0.474,0.484,0.496,0.434,0.464,0.43,0.448,0.502,0.444,0.456,0.486
16,0.47,0.43,0.48,0.452,0.454,0.474,0.49,0.36,0.432,0.48,0.484,0.48,0.434,0.49,0.43,0.448,0.502,0.484,0.468,0.486
17,0.47,0.43,0.506,0.472,0.5,0.474,0.49,0.452,0.496,0.492,0.484,0.48,0.434,0.51,0.43,0.448,0.502,0.484,0.472,0.486
18,0.47,0.46,0.506,0.472,0.5,0.474,0.512,0.47,0.488,0.498,0.498,0.48,0.478,0.522,0.528,0.448,0.502,0.502,0.484,0.53
19,0.47,0.462,0.506,0.472,0.51,0.474,0.498,0.47,0.488,0.498,0.498,0.506,0.478,0.542,0.528,0.532,0.502,0.502,0.484,0.532
20,0.47,0.49,0.506,0.472,0.51,0.534,0.498,0.47,0.488,0.53,0.498,0.498,0.478,0.546,0.544,0.528,0.502,0.502,0.504,0.55
21,0.494,0.49,0.498,0.472,0.526,0.54,0.498,0.484,0.488,0.534,0.498,0.498,0.478,0.548,0.544,0.53,0.502,0.526,0.504,0.55
22,0.494,0.49,0.498,0.494,0.526,0.54,0.53,0.484,0.516,0.534,0.498,0.498,0.514,0.544,0.538,0.536,0.502,0.512,0.504,0.55
23,0.494,0.49,0.52,0.494,0.53,0.558,0.53,0.5,0.516,0.538,0.542,0.516,0.514,0.564,0.538,0.534,0.536,0.524,0.504,0.55
24,0.494,0.516,0.52,0.506,0.54,0.548,0.54,0.5,0.516,0.538,0.554,0.532,0.514,0.564,0.546,0.54,0.536,0.524,0.532,0.55
25,0.512,0.516,0.52,0.524,0.54,0.572,0.54,0.504,0.516,0.538,0.554,0.526,0.508,0.564,0.546,0.54,0.536,0.524,0.532,0.55
26,0.52,0.516,0.52,0.524,0.54,0.572,0.55,0.524,0.538,0.538,0.554,0.526,0.508,0.564,0.546,0.546,0.536,0.524,0.532,0.55
27,0.526,0.516,0.546,0.524,0.54,0.574,0.574,0.524,0.538,0.538,0.554,0.532,0.528,0.572,0.546,0.546,0.536,0.524,0.548,0.574
28,0.526,0.53,0.546,0.538,0.54,0.578,0.568,0.552,0.538,0.538,0.554,0.532,0.532,0.572,0.546,0.546,0.536,0.55,0.544,0.574
29,0.526,0.53,0.546,0.538,0.558,0.578,0.574,0.554,0.55,0.554,0.566,0.532,0.524,0.586,0.564,0.546,0.536,0.55,0.544,0.568
30,0.526,0.53,0.54,0.548,0.558,0.582,0.574,0.552,0.55,0.554,0.558,0.532,0.538,0.586,0.564,0.546,0.56,0.55,0.552,0.568
