Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,,,0.114,,0.094,0.098,,0.114,0.11,0.104,,0.102,,0.108,,0.104,,,,
2,0.13,0.14,0.176,,0.15,0.098,0.154,0.148,0.11,0.104,0.17,0.102,0.13,0.108,,0.138,,,,0.156
3,0.138,0.134,0.144,,0.138,0.118,0.15,0.124,0.138,0.104,0.17,0.102,0.13,0.108,,0.136,0.154,0.154,,0.156
4,0.138,0.134,0.144,,0.138,0.118,0.15,0.218,0.208,0.23,0.194,0.102,0.208,0.108,,0.174,0.154,0.154,0.22,0.156
5,0.232,0.134,0.144,,0.138,0.276,0.244,0.234,0.208,0.23,0.194,0.102,0.208,0.108,,0.174,0.256,0.154,0.22,0.156
6,0.268,0.134,0.144,,0.278,0.294,0.29,0.234,0.208,0.23,0.284,0.102,0.292,0.108,,0.25,0.256,0.278,0.22,0.156
7,0.3,0.134,0.144,0.32,0.278,0.326,0.324,0.234,0.208,0.23,0.284,0.102,0.292,0.108,,0.274,0.35,0.278,0.22,0.156
8,0.3,0.134,0.144,0.32,0.334,0.38,0.324,0.348,0.384,0.23,0.382,0.102,0.368,0.108,,0.274,0.382,0.278,0.22,0.348
9,0.3,0.346,0.144,0.32,0.334,0.38,0.414,0.348,0.414,0.23,0.392,0.102,0.368,0.108,,0.274,0.382,0.278,0.22,0.348
10,0.3,0.346,0.144,0.32,0.352,0.38,0.414,0.37,0.414,0.23,0.386,0.102,0.368,0.108,,0.274,0.394,0.278,0.22,0.348
11,0.386,0.346,0.144,0.32,0.352,0.38,0.414,0.37,0.414,0.408,0.386,0.102,0.368,0.108,,0.404,0.422,0.278,0.398,0.396
12,0.386,0.396,0.144,0.32,0.352,0.38,0.414,0.37,0.43,0.44,0.424,0.102,0.418,0.42,,0.404,0.44,0.278,0.398,0.396
13,0.386,0.416,0.144,0.32,0.412,0.464,0.414,0.37,0.43,0.44,0.424,0.102,0.418,0.42,,0.422,0.434,0.278,0.398,0.396
14,0.43,0.42,0.434,0.32,0.424,0.464,0.414,0.37,0.43,0.44,0.424,0.102,0.418,0.42,,0.422,0.442,0.462,0.398,0.45
15,0.43,0.454,0.434,0.46,0.424,0.474,0.484,0.37,0.476,0.44,0.424,0.44,0.418,0.42,,0.452,0.442,0.462,0.444,0.45
16,0.43,0.454,0.434,0.46,0.424,0.474,0.484,0.37,0.476,0.44,0.466,0.44,0.474,0.42,,0.452,0.442,0.456,0.464,0.466
17,0.43,0.47,0.434,0.46,0.486,0.498,0.484,0.37,0.476,0.44,0.466,0.44,0.474,0.486,,0.452,0.442,0.456,0.464,0.466
18,0.422,0.476,0.434,0.46,0.486,0.498,0.484,0.37,0.476,0.44,0.466,0.44,0.474,0.486,,0.482,0.442,0.456,0.464,0.472
19,0.422,0.486,0.434,0.46,0.5,0.522,0.484,0.37,0.476,0.44,0.466,0.44,0.488,0.486,,0.482,0.442,0.456,0.504,0.472
20,0.422,0.494,0.434,0.46,0.498,0.522,0.484,0.37,0.476,0.44,0.496,0.44,0.488,0.486,,0.482,0.502,0.456,0.504,0.482
21,0.468,0.494,0.486,0.46,0.498,0.51,0.484,0.37,0.536,0.5,0.496,0.44,0.514,0.486,,0.482,0.524,0.5,0.504,0.482
22,0.468,0.494,0.486,0.46,0.536,0.522,0.544,0.37,0.536,0.536,0.496,0.44,0.514,0.486,,0.482,0.524,0.5,0.504,0.5
23,0.476,0.518,0.504,0.516,0.538,0.522,0.544,0.37,0.536,0.536,0.496,0.44,0.526,0.486,,0.496,0.524,0.5,0.504,0.5
24,0.476,0.538,0.504,0.516,0.548,0.522,0.544,0.37,0.532,0.536,0.496,0.44,0.526,0.486,,0.502,0.524,0.5,0.504,0.5
25,0.496,0.538,0.504,0.516,0.548,0.522,0.544,0.37,0.532,0.54,0.496,0.44,0.526,0.486,,0.514,0.524,0.5,0.504,0.522
26,0.5,0.538,0.504,0.516,0.548,0.522,0.544,0.37,0.532,0.54,0.55,0.44,0.526,0.486,,0.51,0.524,0.53,0.504,0.522
27,0.514,0.538,0.504,0.516,0.548,0.554,0.544,0.37,0.532,0.548,0.55,0.44,0.526,0.486,,0.522,0.524,0.53,0.504,0.522
28,0.514,0.538,0.504,0.516,0.548,0.532,0.572,0.37,0.532,0.548,0.55,0.44,0.526,0.486,,0.522,0.57,0.53,0.504,0.522
29,0.504,0.538,0.504,0.516,0.548,0.552,0.562,0.37,0.532,0.548,0.55,0.44,0.534,0.486,,0.522,0.57,0.53,0.542,0.522
30,0.504,0.538,0.504,0.516,0.548,0.552,0.562,0.37,0.544,0.548,0.55,0.44,0.534,0.486,0.56,0.546,0.57,0.53,0.542,0.522
