,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
2,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1
3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
4,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0
5,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
6,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1
7,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
8,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1
9,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
10,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0
11,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1
12,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0
13,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
14,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1
15,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
16,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
17,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0
18,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
19,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
20,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
21,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0
22,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1
23,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0
24,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
25,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
26,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0
27,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0
28,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0
29,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
30,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
