Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,,0.47619047619047616,,,,,,,0.005291005291005291,,,,,0.30864197530864196,,,0.041379310344827586,,,
2,,0.47619047619047616,,,,,0.45871559633027525,,0.26455026455026454,,,,,0.30864197530864196,,,0.034482758620689655,,,0.27848101265822783
3,,0.009523809523809525,,,,,0.45871559633027525,,0.26455026455026454,,,,,0.30864197530864196,0.0,,0.034482758620689655,,,0.27848101265822783
4,,0.009523809523809525,,,0.2748091603053435,,0.45871559633027525,0.0,0.26455026455026454,,,,,0.30864197530864196,0.0,0.09271523178807947,0.034482758620689655,,,0.27848101265822783
5,,0.47619047619047616,,,0.05343511450381679,,0.45871559633027525,0.43478260869565216,0.005291005291005291,,,,,0.30864197530864196,0.28488372093023256,0.09271523178807947,0.041379310344827586,,,0.27848101265822783
6,,0.4666666666666667,,,0.05343511450381679,0.18253968253968253,0.45871559633027525,0.43478260869565216,0.010582010582010581,,,,0.0070921985815602835,0.30864197530864196,0.23255813953488372,0.09271523178807947,0.041379310344827586,,0.15517241379310345,0.27848101265822783
7,,0.4666666666666667,,,0.17557251908396945,0.18253968253968253,0.45871559633027525,0.43478260869565216,0.18518518518518517,,,,0.1702127659574468,0.06172839506172839,0.23255813953488372,0.33112582781456956,0.2896551724137931,,0.43103448275862066,0.27848101265822783
8,,0.4666666666666667,,,0.04580152671755725,0.1349206349206349,0.45871559633027525,0.43478260869565216,0.18518518518518517,,,,0.1702127659574468,0.06172839506172839,0.3488372093023256,0.1390728476821192,0.2896551724137931,,0.43103448275862066,0.20253164556962025
9,,0.4666666666666667,0.13924050632911392,,0.04580152671755725,0.1349206349206349,0.45871559633027525,0.43478260869565216,0.3386243386243386,,,,0.1702127659574468,0.06172839506172839,0.3488372093023256,0.1390728476821192,0.034482758620689655,,0.43103448275862066,0.3227848101265823
10,,0.4666666666666667,0.0949367088607595,,0.29770992366412213,0.1111111111111111,0.45871559633027525,0.43478260869565216,0.37037037037037035,,,,0.1702127659574468,0.06172839506172839,0.3488372093023256,0.23178807947019867,0.18620689655172415,,0.43103448275862066,0.3227848101265823
11,,0.4666666666666667,0.17088607594936708,,0.29770992366412213,0.1111111111111111,0.46788990825688076,0.43478260869565216,0.35978835978835977,,,,0.1702127659574468,0.06172839506172839,0.3488372093023256,0.23178807947019867,0.18620689655172415,,0.43103448275862066,0.41139240506329117
12,,0.47619047619047616,0.17088607594936708,,0.061068702290076333,0.1111111111111111,0.46788990825688076,0.43478260869565216,0.35978835978835977,0.3770491803278688,,,0.1702127659574468,0.3395061728395062,0.37209302325581395,0.23178807947019867,0.07586206896551724,,0.43103448275862066,0.41139240506329117
13,0.15789473684210525,0.37142857142857144,0.17088607594936708,,0.061068702290076333,0.1111111111111111,0.46788990825688076,0.391304347826087,0.21693121693121692,0.3770491803278688,,,0.1702127659574468,0.3395061728395062,0.37209302325581395,0.31125827814569534,0.07586206896551724,,0.43103448275862066,0.41139240506329117
14,0.15789473684210525,0.2761904761904762,0.36075949367088606,0.38144329896907214,0.3282442748091603,0.1111111111111111,0.46788990825688076,0.391304347826087,0.2328042328042328,0.06557377049180328,,,0.1702127659574468,0.3395061728395062,0.1686046511627907,0.31125827814569534,0.05517241379310345,,0.43103448275862066,0.34177215189873417
15,0.30701754385964913,0.2761904761904762,0.12025316455696203,0.20618556701030927,0.3282442748091603,0.20634920634920634,0.25688073394495414,0.11304347826086956,0.3915343915343915,0.3770491803278688,,0.4939759036144578,0.1702127659574468,0.3395061728395062,0.12209302325581395,0.3509933774834437,0.05517241379310345,,0.43103448275862066,0.34177215189873417
