,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
3,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
4,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
5,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
6,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1
7,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0
8,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1
9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
10,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0
11,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
12,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
13,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
14,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1
15,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
16,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1
17,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
18,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1
19,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
20,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1
21,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
22,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0
23,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1
24,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1
25,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
26,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
27,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
28,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
29,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1
30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
