Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.6933333333333334,,,0.684,0.7026666666666667,0.6803333333333333,,,,0.6793333333333333,0.686,,0.6963333333333334,0.687,,,,0.6843333333333333,0.6756666666666666,
2,0.6933333333333334,,,0.7353333333333333,0.736,0.7273333333333334,0.745,,,0.6793333333333333,0.686,0.7236666666666667,0.7416666666666667,0.687,,,0.7403333333333333,0.6843333333333333,0.7233333333333334,0.7313333333333333
3,0.6933333333333334,,0.7606666666666667,0.7633333333333333,0.7663333333333333,0.7273333333333334,0.745,,,0.6793333333333333,0.686,0.7236666666666667,0.7416666666666667,0.687,,0.761,0.7403333333333333,0.7633333333333333,0.76,0.7313333333333333
4,0.7726666666666666,,0.7606666666666667,0.7633333333333333,0.7663333333333333,0.7273333333333334,0.745,0.776,,0.7713333333333333,0.7716666666666666,0.7236666666666667,0.7416666666666667,0.7873333333333333,,0.761,0.7403333333333333,0.7633333333333333,0.76,0.7776666666666666
5,0.7856666666666666,0.8003333333333333,0.7896666666666666,0.7633333333333333,0.7916666666666666,0.7273333333333334,0.7963333333333333,0.776,,0.7713333333333333,0.7716666666666666,0.7236666666666667,0.804,0.7873333333333333,0.801,0.761,0.7403333333333333,0.7836666666666666,0.76,0.7776666666666666
6,0.8006666666666666,0.8003333333333333,0.805,0.8083333333333333,0.8083333333333333,0.7273333333333334,0.8063333333333333,0.776,,0.7713333333333333,0.7716666666666666,0.8,0.815,0.7873333333333333,0.801,0.806,0.7403333333333333,0.7836666666666666,0.76,0.8016666666666666
7,0.8006666666666666,0.8003333333333333,0.805,0.813,0.8083333333333333,0.8243333333333334,0.8063333333333333,0.776,0.8103333333333333,0.7713333333333333,0.814,0.8,0.815,0.8243333333333334,0.821,0.806,0.8113333333333334,0.8066666666666666,0.8133333333333334,0.8106666666666666
8,0.8216666666666667,0.8333333333333334,0.805,0.8213333333333334,0.827,0.8243333333333334,0.8063333333333333,0.776,0.8103333333333333,0.7713333333333333,0.814,0.8293333333333334,0.828,0.8243333333333334,0.8286666666666667,0.8273333333333334,0.82,0.8066666666666666,0.8133333333333334,0.8106666666666666
9,0.8216666666666667,0.8333333333333334,0.8293333333333334,0.8296666666666667,0.827,0.8243333333333334,0.8063333333333333,0.776,0.8296666666666667,0.7713333333333333,0.8273333333333334,0.8313333333333334,0.8316666666666667,0.8366666666666667,0.8366666666666667,0.8286666666666667,0.8243333333333334,0.8186666666666667,0.832,0.8106666666666666
10,0.8263333333333334,0.8426666666666667,0.8376666666666667,0.8296666666666667,0.827,0.8243333333333334,0.8063333333333333,0.8303333333333334,0.8296666666666667,0.8386666666666667,0.8273333333333334,0.8313333333333334,0.8316666666666667,0.8396666666666667,0.8366666666666667,0.8286666666666667,0.8243333333333334,0.8186666666666667,0.832,0.8106666666666666
