,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
2,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1
3,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1
5,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
6,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
7,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
8,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1
9,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1
10,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1
11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
13,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1
14,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
15,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0
16,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
17,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
18,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
19,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
20,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
21,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
22,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1
23,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
24,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0
25,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1
26,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
27,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1
28,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0
29,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0
30,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0
31,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
32,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
33,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
34,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1
35,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
36,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
37,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
40,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1
41,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1
42,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
43,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
44,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
46,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
47,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
48,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
49,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0
50,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0
