,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0
2,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
3,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
4,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
5,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0
6,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
7,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
8,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
9,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1
10,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1
11,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1
12,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0
13,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
14,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
15,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
16,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0
17,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1
18,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
19,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0
20,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
21,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0
22,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
23,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
24,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1
25,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0
26,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1
27,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
28,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1
29,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1
30,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0
31,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
32,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
33,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
34,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1
35,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
36,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
37,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
38,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0
39,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
40,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0
41,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
42,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0
43,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
44,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
45,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1
46,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1
47,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
48,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0
49,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1
50,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
