Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.21226415094339623,0.1663716814159292,0.40276179516685845,,0.256198347107438,,0.31917211328976036,,,,0.2148997134670487,,0.08074534161490683,0.050788091068301226,,0.5007320644216691,0.0855421686746988,,,
2,0.7570754716981132,0.12743362831858407,0.40276179516685845,,0.256198347107438,,0.5381263616557734,0.3450834879406308,0.12886597938144329,,0.2148997134670487,0.11408450704225352,0.3022774327122153,0.6129597197898424,0.7835178351783518,0.5007320644216691,0.0855421686746988,,0.18823529411764706,0.5881226053639846
3,0.6367924528301887,0.5734513274336284,0.523590333716916,,0.6316410861865407,0.878727634194831,0.5381263616557734,0.7829313543599258,0.12886597938144329,0.4489795918367347,0.2148997134670487,0.08169014084507042,0.3022774327122153,0.6129597197898424,0.7835178351783518,0.5007320644216691,0.44457831325301206,0.04051172707889126,0.18823529411764706,0.8352490421455939
4,0.6367924528301887,0.5734513274336284,0.31990794016110474,,0.6316410861865407,0.5725646123260437,0.5501089324618736,0.7829313543599258,0.359106529209622,0.4489795918367347,0.501432664756447,0.7253521126760564,0.7018633540372671,0.5271453590192644,0.7835178351783518,0.42313323572474376,0.44457831325301206,0.4669509594882729,0.18823529411764706,0.8352490421455939
5,0.8042452830188679,0.6920353982300885,0.5949367088607594,,0.6316410861865407,0.7852882703777336,0.5501089324618736,0.8608534322820037,0.359106529209622,0.42857142857142855,0.501432664756447,0.20140845070422536,0.7018633540372671,0.8073555166374781,0.7835178351783518,0.2972181551976574,0.6228915662650603,0.05543710021321962,0.5117647058823529,0.8544061302681992
6,0.6556603773584906,0.6920353982300885,0.5949367088607594,0.6766467065868264,0.7119244391971665,0.7673956262425448,0.5501089324618736,0.8608534322820037,0.7491408934707904,0.4340136054421769,0.38872970391595035,0.20140845070422536,0.7018633540372671,0.7197898423817863,0.7835178351783518,0.2972181551976574,0.6228915662650603,0.697228144989339,0.5117647058823529,0.8544061302681992
7,0.875,0.6920353982300885,0.7065592635212888,0.7395209580838323,0.5879574970484062,0.5168986083499006,0.7450980392156863,0.8608534322820037,0.18041237113402062,0.5346938775510204,0.38872970391595035,0.2746478873239437,0.7018633540372671,0.7863397548161121,0.7945879458794588,0.2972181551976574,0.6228915662650603,0.697228144989339,0.5941176470588235,0.8544061302681992
8,0.7783018867924528,0.6920353982300885,0.7065592635212888,0.7889221556886228,0.5879574970484062,0.8807157057654076,0.7450980392156863,0.8608534322820037,0.42783505154639173,0.5346938775510204,0.38872970391595035,0.447887323943662,0.7018633540372671,0.6847635726795096,0.8523985239852399,0.2972181551976574,0.6228915662650603,0.697228144989339,0.5941176470588235,0.8544061302681992
9,0.8702830188679245,0.6460176991150443,0.6306098964326813,0.7904191616766467,0.5879574970484062,0.8807157057654076,0.7026143790849673,0.8608534322820037,0.33505154639175255,0.6027210884353742,0.38872970391595035,0.447887323943662,0.7018633540372671,0.8388791593695272,0.8868388683886839,0.45241581259150804,0.6228915662650603,0.697228144989339,0.5941176470588235,0.8544061302681992
10,0.839622641509434,0.8654867256637168,0.6306098964326813,0.8098802395209581,0.5879574970484062,0.8807157057654076,0.7026143790849673,0.9239332096474954,0.39862542955326463,0.6027210884353742,0.38872970391595035,0.47183098591549294,0.7018633540372671,0.840630472854641,0.8868388683886839,0.44363103953147875,0.6228915662650603,0.697228144989339,0.5941176470588235,0.8409961685823755
11,0.839622641509434,0.8654867256637168,0.6306098964326813,0.8098802395209581,0.8795749704840614,0.8489065606361829,0.7026143790849673,0.9239332096474954,0.697594501718213,0.6027210884353742,0.6504297994269341,0.4253521126760563,0.7018633540372671,0.8178633975481612,0.8868388683886839,0.465592972181552,0.6228915662650603,0.697228144989339,0.5941176470588235,0.8409961685823755
12,0.839622641509434,0.8654867256637168,0.6306098964326813,0.8083832335329342,0.8748524203069658,0.8489065606361829,0.7026143790849673,0.9239332096474954,0.697594501718213,0.5210884353741496,0.6504297994269341,0.4253521126760563,0.7494824016563147,0.8178633975481612,0.8868388683886839,0.486090775988287,0.7313253012048193,0.697228144989339,0.7313725490196078,0.8409961685823755
13,0.8797169811320755,0.8654867256637168,0.6306098964326813,0.8083832335329342,0.8406139315230224,0.8489065606361829,0.7026143790849673,0.9239332096474954,0.697594501718213,0.527891156462585,0.6504297994269341,0.4253521126760563,0.7494824016563147,0.8178633975481612,0.8868388683886839,0.5168374816983895,0.6096385542168675,0.697228144989339,0.7313725490196078,0.8409961685823755
14,0.8797169811320755,0.8654867256637168,0.5684695051783659,0.8083832335329342,0.8890200708382526,0.8886679920477137,0.7026143790849673,0.8942486085343229,0.46219931271477666,0.527891156462585,0.6504297994269341,0.4253521126760563,0.7494824016563147,0.8178633975481612,0.8868388683886839,0.49194729136163984,0.6096385542168675,0.697228144989339,0.7313725490196078,0.8409961685823755
15,0.8797169811320755,0.6920353982300885,0.5983889528193326,0.8083832335329342,0.8890200708382526,0.7554671968190855,0.7026143790849673,0.8942486085343229,0.46219931271477666,0.527891156462585,0.6504297994269341,0.6633802816901408,0.7494824016563147,0.8178633975481612,0.8868388683886839,0.445095168374817,0.6096385542168675,0.2302771855010661,0.7313725490196078,0.8409961685823755
16,0.8797169811320755,0.8884955752212389,0.5845799769850403,0.8368263473053892,0.8890200708382526,0.7554671968190855,0.7026143790849673,0.9035250463821892,0.46219931271477666,0.527891156462585,0.6504297994269341,0.6633802816901408,0.7494824016563147,0.8178633975481612,0.8868388683886839,0.46412884333821375,0.6096385542168675,0.14712153518123666,0.8196078431372549,0.8409961685823755
17,0.8797169811320755,0.8884955752212389,0.5742232451093211,0.8248502994011976,0.8890200708382526,0.8986083499005965,0.7026143790849673,0.8942486085343229,0.46219931271477666,0.6448979591836734,0.7459407831900668,0.5521126760563381,0.7494824016563147,0.8178633975481612,0.9077490774907749,0.46412884333821375,0.6819277108433734,0.14712153518123666,0.8196078431372549,0.8409961685823755
18,0.8797169811320755,0.8884955752212389,0.5742232451093211,0.8248502994011976,0.910271546635183,0.8986083499005965,0.7026143790849673,0.6512059369202227,0.7852233676975945,0.43673469387755104,0.6351480420248329,0.5521126760563381,0.7494824016563147,0.8178633975481612,0.9077490774907749,0.46412884333821375,0.8313253012048193,0.7633262260127932,0.8607843137254902,0.7413793103448276
19,0.8797169811320755,0.8884955752212389,0.5742232451093211,0.8562874251497006,0.910271546635183,0.8986083499005965,0.7026143790849673,0.6512059369202227,0.7852233676975945,0.43673469387755104,0.6351480420248329,0.5521126760563381,0.7494824016563147,0.8178633975481612,0.8954489544895449,0.46412884333821375,0.7457831325301205,0.7633262260127932,0.8607843137254902,0.7413793103448276
20,0.8797169811320755,0.8884955752212389,0.5742232451093211,0.8562874251497006,0.910271546635183,0.8986083499005965,0.7026143790849673,0.8701298701298701,0.40378006872852235,0.5741496598639456,0.7268385864374403,0.5521126760563381,0.8385093167701864,0.8178633975481612,0.8954489544895449,0.5534407027818448,0.7048192771084337,0.22388059701492538,0.8607843137254902,0.7413793103448276
21,0.8797169811320755,0.8884955752212389,0.4407364787111623,0.8562874251497006,0.8748524203069658,0.8986083499005965,0.7026143790849673,0.8701298701298701,0.7783505154639175,0.5741496598639456,0.7268385864374403,0.6126760563380281,0.8385093167701864,0.8178633975481612,0.8733087330873309,0.5534407027818448,0.7048192771084337,0.8102345415778252,0.8607843137254902,0.7413793103448276
22,0.8797169811320755,0.9097345132743363,0.5776754890678941,0.8368263473053892,0.8748524203069658,0.8986083499005965,0.7026143790849673,0.8701298701298701,0.4175257731958763,0.5741496598639456,0.7268385864374403,0.6126760563380281,0.7763975155279503,0.8178633975481612,0.8733087330873309,0.5007320644216691,0.7048192771084337,0.19829424307036247,0.8215686274509804,0.7413793103448276
23,0.8797169811320755,0.9097345132743363,0.5615650172612198,0.8368263473053892,0.8748524203069658,0.8986083499005965,0.7178649237472767,0.8701298701298701,0.6735395189003437,0.6027210884353742,0.7268385864374403,0.6661971830985915,0.7763975155279503,0.8581436077057794,0.8733087330873309,0.5007320644216691,0.7048192771084337,0.7547974413646056,0.7568627450980392,0.7413793103448276
24,0.8797169811320755,0.9097345132743363,0.5615650172612198,0.8368263473053892,0.8488783943329398,0.8986083499005965,0.6274509803921569,0.9257884972170687,0.41580756013745707,0.6027210884353742,0.7268385864374403,0.6661971830985915,0.7971014492753623,0.8581436077057794,0.8733087330873309,0.5080527086383602,0.7048192771084337,0.7547974413646056,0.7568627450980392,0.7413793103448276
25,0.8349056603773585,0.9097345132743363,0.5615650172612198,0.8368263473053892,0.8890200708382526,0.8986083499005965,0.6274509803921569,0.9257884972170687,0.8178694158075601,0.6027210884353742,0.5807067812798472,0.6661971830985915,0.7971014492753623,0.8581436077057794,0.8733087330873309,0.37481698389458273,0.7048192771084337,0.7782515991471215,0.7568627450980392,0.7413793103448276
