Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.9185185185185185,0.874251497005988,0.8780487804878049,0.8370044052863436,0.8867924528301887,0.9221789883268483,0.8591549295774648,0.85,0.8575197889182058,0.8941798941798942,0.9465020576131687,0.899641577060932,0.8675213675213675,0.8954248366013072,0.9100642398286938,0.9437751004016064,0.906,0.8924205378973105,0.9139784946236559,0.8625954198473282
2,0.9554317548746518,0.9753694581280788,0.9523809523809523,0.9813829787234043,0.9572649572649573,0.9634551495016611,0.97,0.9744525547445255,0.9552238805970149,0.9572072072072072,0.9422222222222222,0.948051948051948,0.962,0.960352422907489,0.9754385964912281,0.972972972972973,0.9528301886792453,0.9863013698630136,0.9627192982456141,0.9759036144578314
3,0.9765625,0.972,0.9626168224299065,0.9823399558498896,0.9751552795031055,0.9742647058823529,0.973293768545994,0.9653846153846154,0.9850746268656716,0.9576923076923077,0.9646739130434783,0.959349593495935,0.9654320987654321,0.9904761904761905,0.9707112970711297,0.9733727810650887,0.974,0.9744408945686901,0.9757174392935982,0.9653679653679653
4,0.9730769230769231,0.9826302729528535,0.9732824427480916,0.9827586206896551,0.976,0.9718875502008032,0.9821428571428571,0.9761904761904762,0.9742489270386266,0.974,0.9571984435797666,0.9656160458452722,0.9748953974895398,0.973568281938326,0.9805555555555555,0.9900662251655629,0.9914529914529915,0.9780701754385965,0.9844559585492227,0.9773584905660377
5,0.9766666666666667,0.9655172413793104,0.9807692307692307,0.9758308157099698,0.98,0.9887640449438202,0.9716981132075472,0.9804560260586319,0.9921259842519685,0.9816176470588235,0.9822784810126582,0.9814814814814815,0.9787234042553191,0.972972972972973,0.978,0.9766949152542372,0.9633507853403142,0.9783549783549783,0.974025974025974,0.9809523809523809
6,0.978,0.9828326180257511,0.9746376811594203,0.9820627802690582,0.9892183288409704,0.977491961414791,0.9834983498349835,0.9777777777777777,0.9807692307692307,0.981042654028436,0.9927272727272727,0.9817708333333334,0.9886792452830189,0.9870967741935484,0.982,0.972972972972973,0.9795918367346939,0.9901639344262295,0.9775910364145658,0.967032967032967
7,0.9823232323232324,0.982532751091703,0.9737827715355806,0.984,0.9783549783549783,0.9850746268656716,0.9874055415617129,0.9735449735449735,0.9921875,0.9869281045751634,0.982,0.9760765550239234,0.9924242424242424,0.978978978978979,0.9745762711864406,0.9721448467966574,0.9870801033591732,0.991869918699187,0.9889807162534435,0.9761904761904762
8,0.9862258953168044,0.9774011299435028,0.984,0.9793510324483776,0.9782608695652174,0.9829683698296837,0.979757085020243,0.9735449735449735,0.9900497512437811,1.0,0.9916666666666667,0.9807692307692307,0.99,0.9847094801223242,0.982,0.9823788546255506,0.9874371859296482,0.9890710382513661,0.9807692307692307,0.98
9,0.9841269841269841,0.984375,0.9804560260586319,0.9941690962099126,0.9802197802197802,0.988,0.9857954545454546,0.9906542056074766,0.9726775956284153,0.9779411764705882,0.9846153846153847,0.98,0.9877675840978594,0.9770114942528736,0.9748201438848921,0.9926108374384236,0.9866962305986696,0.9847328244274809,0.9587155963302753,0.9900332225913622
10,0.975103734439834,0.9908466819221968,0.9802631578947368,0.985981308411215,0.9808429118773946,0.9832775919732442,0.9794238683127572,0.9758620689655172,0.9850746268656716,0.986,0.9800796812749004,0.98,0.9927007299270073,0.9882005899705014,0.9904153354632588,0.984,0.9837837837837838,0.9776357827476039,0.9769585253456221,0.9823008849557522
