Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.826,,0.8249400479616307,,0.8706896551724138,0.7722772277227723,0.8284960422163589,,,,,0.8904761904761904,,0.8207282913165266,0.8438438438438438,0.7875354107648725,,,,
2,0.9458689458689459,,0.952,0.9426229508196722,0.9541547277936963,0.939622641509434,,,0.935,,,0.9707112970711297,,,0.9424778761061947,,,0.9682539682539683,,
3,,0.9695290858725761,,0.9630872483221476,,,,0.96484375,,0.9659574468085106,,,0.9663608562691132,,0.9586056644880174,0.9659863945578231,,0.9717868338557993,0.9736842105263158,
4,0.9910714285714286,,,0.9722222222222222,0.9785276073619632,,0.981549815498155,,,0.9890909090909091,0.9859154929577465,0.9558359621451105,,,,,0.9686411149825784,,0.9818731117824774,
5,0.992,0.9791666666666666,,0.9766081871345029,,,0.9868073878627969,,0.9777158774373259,0.972972972972973,0.9826388888888888,0.9555555555555556,,,0.973170731707317,,,0.981203007518797,,
6,0.9912280701754386,,,,,,0.9929245283018868,,,0.9770642201834863,0.9767441860465116,0.9655172413793104,,,0.9710526315789474,0.9671641791044776,,0.9772727272727273,0.9817629179331308,
7,,0.9805825242718447,,,0.980349344978166,0.9637305699481865,,0.9776951672862454,,,0.9827089337175793,0.9574468085106383,,0.9852941176470589,,0.9637681159420289,0.99,,0.9656488549618321,
8,,,0.9879807692307693,0.9789719626168224,0.9737470167064439,,0.9906103286384976,0.9840637450199203,0.9825072886297376,,,,0.989010989010989,,,,0.9941176470588236,0.9888475836431226,0.9873096446700508,
9,0.9916897506925207,,,0.9834983498349835,0.9824945295404814,0.9731343283582089,0.993127147766323,0.9863481228668942,,,,,,0.9943502824858758,0.9722991689750693,,,0.9925925925925926,0.982532751091703,
10,0.9955056179775281,,,,0.9904761904761905,,0.9914346895074947,,0.9811320754716981,,0.9896907216494846,,0.9940119760479041,,0.9663865546218487,0.9813432835820896,,0.9850746268656716,,
11,0.9932432432432432,0.987987987987988,,,0.9906542056074766,0.9764150943396226,0.9861111111111112,0.9855072463768116,0.983451536643026,,,,,,0.9758241758241758,,,0.9885931558935361,0.9907692307692307,
12,1.0,0.9787798408488063,0.9845814977973568,0.9779874213836478,,0.9717223650385605,,,,0.9696969696969697,0.9966666666666667,0.9880952380952381,,,,,0.9937694704049844,,,
13,0.996,0.9927272727272727,,0.978494623655914,0.9842931937172775,,,,0.9800995024875622,0.9821428571428571,,,0.9896373056994818,,,0.9751552795031055,0.9786096256684492,,,
14,0.9931972789115646,,,,0.9841269841269841,,,0.9922480620155039,0.98005698005698,,,0.9746835443037974,0.9903225806451613,0.9880952380952381,,,0.9861751152073732,0.9928825622775801,,
15,0.9938837920489296,0.9907407407407407,0.9828431372549019,0.9854545454545455,0.9929078014184397,0.989010989010989,,,,,,,0.9855907780979827,0.9881422924901185,,,,,0.986,
16,0.994,,0.986,,0.9907407407407407,0.9734848484848485,1.0,,,0.9717741935483871,0.9930555555555556,,,,0.972568578553616,,0.9841269841269841,,,
17,,0.9879032258064516,0.9869848156182213,0.9849397590361446,0.9859550561797753,0.9711191335740073,,,,,0.9951923076923077,,0.9851632047477745,0.993006993006993,0.967741935483871,,,,0.9923273657289002,
18,1.0,,0.9854721549636803,0.98989898989899,,,0.9970149253731343,0.9853372434017595,0.9866962305986696,,0.9958847736625515,,,,0.9653979238754326,0.9811320754716981,0.9940476190476191,,,
19,0.9971830985915493,0.9927797833935018,,0.9896907216494846,,,0.9956896551724138,0.9882352941176471,0.9856115107913669,,,0.9710743801652892,0.9922178988326849,,0.9647577092511013,,,,,
20,0.996,0.9837837837837838,,0.9834983498349835,0.9948717948717949,,,0.9848024316109423,,0.9770114942528736,,,0.9932659932659933,,0.9701897018970189,0.987012987012987,,,,
21,,,0.9880952380952381,0.9852941176470589,0.990521327014218,0.9784366576819407,0.9972826086956522,,,0.9892086330935251,0.9856115107913669,,0.995575221238938,,,,,0.9874476987447699,,
22,,,0.9901719901719902,,0.9894459102902374,,0.9948586118251928,0.982078853046595,,0.9922178988326849,0.9938461538461538,,,,0.9803439803439803,0.9739583333333334,0.9873417721518988,,0.9853300733496333,
23,,,0.986,0.9916666666666667,0.9798387096774194,,0.9964285714285714,0.9861111111111112,0.988,,0.9868421052631579,0.9706601466992665,,0.9948320413436692,,,0.9797979797979798,,,
24,,0.9880478087649402,0.988,,,,0.9951573849878934,0.9928057553956835,,0.988950276243094,,0.9664179104477612,0.9927007299270073,,,0.9782608695652174,,,0.990521327014218,
25,,,,,,0.9635761589403974,,,,0.9747899159663865,0.991304347826087,0.972809667673716,1.0,0.994535519125683,0.9793510324483776,0.9748953974895398,0.9897435897435898,0.9944289693593314,,
26,0.9948717948717949,0.9938650306748467,,,,0.9779005524861878,0.9941860465116279,0.9761904761904762,0.9900497512437811,,,0.9810606060606061,0.9927007299270073,,,,0.9923371647509579,,0.9894459102902374,
27,,,0.9876847290640394,,,,,0.9917355371900827,,0.9901477832512315,0.9800796812749004,,,0.9939024390243902,0.9823788546255506,,0.9913793103448276,0.993103448275862,0.9865591397849462,
28,0.9971751412429378,,0.9852579852579852,,0.9923664122137404,,,0.9901960784313726,,0.9760956175298805,0.9957983193277311,,0.9904458598726115,,0.978319783197832,0.9844236760124611,,,0.9914040114613181,
29,0.996,0.9968051118210862,0.9852579852579852,0.9917695473251029,0.9797297297297297,,,0.9833333333333333,,0.9800664451827242,0.9902912621359223,,,,,,,0.9962121212121212,,
30,,0.993421052631579,0.9892183288409704,0.9964285714285714,,,,0.9896373056994818,,,,,,0.9899749373433584,0.9753086419753086,0.9704918032786886,,1.0,0.9896640826873385,
31,0.994,,,,,0.9813084112149533,,0.9934426229508196,0.986,0.9689119170984456,,0.9771573604060914,,,0.9765807962529274,0.9893238434163701,0.9837662337662337,,,
32,0.9973544973544973,0.9972527472527473,,,,,0.9932203389830508,0.9956521739130435,,,0.9943019943019943,,0.9940828402366864,,0.9747899159663865,,0.9839743589743589,0.9903846153846154,0.9875776397515528,
33,0.995249406175772,0.9946808510638298,,0.9844559585492227,,0.9747899159663865,0.9970326409495549,0.9935897435897436,,,,0.9719298245614035,,0.9951573849878934,,0.9785276073619632,,,0.9891891891891892,
34,0.9955257270693513,0.9927007299270073,,,0.9929906542056075,0.9867549668874173,0.9946091644204852,0.9893617021276596,,,,0.9727520435967303,,,0.9773299748110831,0.9801587301587301,,0.9965870307167235,,
