Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1
2,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0
4,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1
5,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1
6,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
8,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1
9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1
10,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
13,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
15,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
16,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
17,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0
18,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0
19,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
20,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1
21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
22,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1
