Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0
2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
3,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
5,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
6,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
7,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
8,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
9,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
10,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
12,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1
13,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0
14,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
16,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
17,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
18,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
19,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0
20,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
21,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1
22,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
23,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1
24,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0
25,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
26,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
27,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0
28,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
29,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
30,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
31,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0
32,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0
33,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
34,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
35,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
36,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
37,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0
38,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1
39,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1
41,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0
42,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
43,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
44,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
45,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1
46,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
48,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0
49,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
50,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
51,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
52,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
53,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
54,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0
55,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0
56,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
57,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
58,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
59,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0
60,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1
61,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
62,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
63,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1
64,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
65,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
66,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0
67,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1
69,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
70,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
71,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0
72,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
73,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1
74,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1
75,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
76,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1
77,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0
78,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
79,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
80,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
81,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1
82,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
83,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
84,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
85,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0
86,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
87,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
88,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
89,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0
90,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
91,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
92,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1
93,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
94,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1
95,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
96,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
97,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
98,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
