Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
3,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
5,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
6,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
7,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
8,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0
9,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
10,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1
11,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0
12,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1
13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
14,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1
15,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
16,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0
17,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
19,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1
22,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
24,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
25,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
26,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
27,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
30,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
31,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
32,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0
33,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
34,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
35,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1
36,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
37,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
38,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1
39,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
40,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
41,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1
42,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1
43,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
44,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1
45,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0
46,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
47,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
48,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
49,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0
50,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0
51,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1
52,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
53,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
54,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0
55,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
56,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0
57,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
58,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1
59,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1
60,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
61,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
62,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0
63,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
64,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
65,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
67,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
68,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
69,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0
70,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
71,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
72,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
73,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
74,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
75,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1
76,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
77,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
78,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0
79,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0
81,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
82,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
83,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1
84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
86,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
87,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
88,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1
89,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
90,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0
91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
92,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0
93,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
94,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
95,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1
96,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
97,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
98,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
99,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
100,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
102,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1
103,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
104,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1
105,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
106,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
107,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
108,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0
109,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
110,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
111,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1
112,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0
113,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1
114,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
115,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1
116,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
117,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0
118,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1
119,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
120,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1
121,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
122,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
123,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0
124,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
125,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
126,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
127,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0
128,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
129,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
130,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1
131,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
132,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0
133,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1
134,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
135,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
136,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
137,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
138,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1
139,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
140,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0
