Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
2,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0
3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
6,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1
7,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
8,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
9,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
10,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
11,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
12,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0
13,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
14,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
15,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1
16,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
17,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
18,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
19,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
21,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
22,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0
23,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
24,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0
25,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0
26,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1
27,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
28,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
29,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
