Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0
2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0
4,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
5,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1
6,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
7,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1
8,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
9,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
10,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
11,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0
12,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1
13,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0
14,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0
15,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1
16,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
17,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1
18,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0
19,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
20,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1
21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
22,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
23,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
24,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
25,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
26,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
27,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
28,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
29,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0
30,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0
31,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1
32,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
33,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0
34,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
35,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0
36,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
37,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
38,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0
39,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1
40,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
41,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1
42,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
43,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
44,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
45,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1
46,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0
47,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
48,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0
49,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
50,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
51,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
52,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
53,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
54,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0
55,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1
56,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
57,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
58,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
59,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1
60,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
61,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
62,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
63,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
64,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
65,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
66,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
67,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0
68,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
69,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
70,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
71,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0
72,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
73,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
74,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
75,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
76,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0
77,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1
78,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
79,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
80,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
81,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1
82,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
83,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1
84,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
