Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,0.5,0.5,0.3757566474622025,0.3473657397100664,0.5,0.5,0.5,0.2779017055763635,0.5,0.3633095693590112,0.3068439615409261,0.295056553187811,0.5,0.5,0.30734779776222976,0.3267225079807042,0.34251885509304564,0.5,0.29786613312364835,0.5
3,0.5,0.5,0.5,0.5,0.5,0.5,0.32465246735834974,0.5,0.5,0.4904166220759062,0.5,0.5761019783356968,0.3224727872437447,0.5,0.5,0.5,0.5,0.5,0.39324072086859824,0.2865047968601901
4,0.5,0.3035814719493066,0.5432587835109418,0.554236418857367,0.29992424523023037,0.28785942695182126,0.46718525339336936,0.4553971580846389,0.5,0.5,0.528787757814511,0.5,0.5,0.5,0.4233523102679368,0.5432587835109418,0.5,0.5,0.37614605089640657,0.314663961018459
5,0.5,0.43307597465975933,0.5,0.5,0.5,0.5,0.4723665527410147,0.5,0.5,0.5,0.5,0.6528090655598332,0.44557787955524786,0.5,0.44530815022661163,0.5,0.5979275332171694,0.5,0.37614605089640657,0.5
6,0.5,0.5071505541829271,0.5,0.4901152290983568,0.602274321734642,0.5069994891329049,0.5,0.5,0.5,0.4507353134063624,0.5,0.5,0.5,0.5,0.4305479284681143,0.5,0.5979275332171694,0.37223299351455136,0.35188725800564674,0.2925362563476029
7,0.5,0.6227038648477501,0.4907284266359745,0.5,0.4386981613411441,0.5,0.4324730381384607,0.5,0.5,0.3633095693590112,0.5,0.5,0.5,0.29605408707254904,0.5,0.5,0.5979275332171694,0.33483491922040504,0.29457482831010745,0.5
8,0.5,0.5,0.5432587835109418,0.5,0.45763189494900386,0.44637147342048494,0.5,0.5,0.5,0.32465246735834974,0.5,0.5431910834943915,0.5,0.5,0.5,0.5,0.5979275332171694,0.5,0.5,0.2925362563476029
9,0.29992424523023037,0.4723665527410147,0.5432587835109418,0.5,0.38240783628651503,0.5,0.37470446874518715,0.5,0.25798890220953075,0.3216230729510642,0.528787757814511,0.5,0.3372852230788577,0.3473657397100664,0.31788442179871557,0.5432587835109418,0.5,0.5,0.275576809498595,0.5
10,0.29992424523023037,0.40656965974059917,0.5296212130340111,0.37395995579118924,0.5,0.49285159735869827,0.539211679500719,0.32169662322088527,0.5,0.3434375461525756,0.5,0.6020872316025507,0.5,0.5,0.5,0.5432587835109418,0.5979275332171694,0.5,0.3219582715376759,0.5
11,0.5,0.3611647503366781,0.5229313503855793,0.5,0.5,0.5,0.4723665527410147,0.30731621390306674,0.3181725954910722,0.3216230729510642,0.5,0.5,0.5,0.3648763604376539,0.44530815022661163,0.5163259901346221,0.5979275332171694,0.5,0.5,0.28059769291079684
12,0.5,0.36402733580874186,0.5,0.5,0.5,0.4400993786601991,0.37886011365342775,0.5,0.5,0.5,0.528787757814511,0.5553063730019505,0.4222002932036979,0.27840217874791306,0.5,0.5,0.5979275332171694,0.34686364525689234,0.5,0.5
13,0.29992424523023037,0.5,0.5,0.5,0.5,0.5,0.3873101786475919,0.5,0.5,0.31564882394347865,0.5,0.4689060074493608,0.5,0.5,0.5,0.5432587835109418,0.5,0.5,0.29786613312364835,0.27768997095378994
