Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0
2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
3,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1
4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
5,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
6,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0
7,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
8,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0
9,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0
10,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1
11,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
12,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
13,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0
14,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
15,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0
16,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
17,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
18,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
19,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1
20,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
21,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
22,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1
23,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0
24,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0
25,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
26,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
27,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
28,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
29,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0
30,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
31,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
32,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
33,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1
34,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
35,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
36,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1
37,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
38,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
39,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
40,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
41,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
42,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
43,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
44,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
45,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
46,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0
47,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
48,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1
49,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
50,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
51,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0
52,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
53,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
54,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1
55,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
56,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
57,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
58,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0
59,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1
61,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1
62,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
63,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0
64,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
65,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1
66,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
67,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1
68,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
69,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
70,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1
71,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
72,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
73,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0
74,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
75,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
76,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1
77,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
78,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
79,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
80,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0
81,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
82,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
83,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1
84,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
85,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0
86,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0
87,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0
88,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
89,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
91,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
92,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1
93,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
94,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
95,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1
96,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
97,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0
98,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
99,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1
100,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
101,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0
102,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
103,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0
104,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
105,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1
106,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0
107,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
109,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
110,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
111,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
112,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
113,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
114,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
115,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0
116,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
117,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1
118,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
119,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
120,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
121,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
122,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0
123,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0
124,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0
125,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
126,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
127,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1
128,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
129,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1
130,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
131,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0
132,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0
133,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
134,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
135,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
136,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
137,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1
138,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
139,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1
