Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1
2,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0
3,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1
4,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0
5,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
6,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1
7,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
9,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
10,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1
11,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
12,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1
13,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
15,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1
16,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1
17,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0
18,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
19,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
20,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0
21,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
22,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0
23,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
24,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
25,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1
26,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
28,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0
29,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1
30,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1
31,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
32,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0
33,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1
34,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
35,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
36,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
37,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1
38,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1
39,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1
40,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
41,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
42,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1
43,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
44,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1
45,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1
46,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1
48,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
49,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1
50,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
51,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
52,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0
53,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0
54,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1
55,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0
56,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
57,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
58,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
59,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1
60,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1
61,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
62,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
63,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1
64,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1
65,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
66,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
67,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
68,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0
69,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1
70,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1
71,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
72,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
73,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
74,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1
76,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0
77,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
78,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
79,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1
80,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
81,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
