Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1
2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
3,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
5,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
7,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
8,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
9,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
10,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1
11,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
12,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
13,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
14,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1
15,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0
16,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
17,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
18,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
19,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1
20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1
21,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
22,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
23,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
24,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
