Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0
3,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1
4,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
5,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1
6,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0
7,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0
8,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
9,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1
10,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0
11,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0
12,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1
13,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0
14,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
15,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0
16,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
17,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1
18,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
19,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
20,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
21,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1
22,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
23,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0
24,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0
25,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1
26,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
27,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1
28,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
29,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
30,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0
