Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0
2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
3,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1
4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
5,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
6,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0
7,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
8,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0
9,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
10,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1
11,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0
12,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
13,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
14,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
15,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1
16,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
17,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
18,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
20,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1
21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
23,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
24,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
25,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
26,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1
27,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
28,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
29,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1
30,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1
31,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0
32,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1
33,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
34,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0
35,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
36,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
37,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
38,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0
39,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1
40,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
41,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
42,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
43,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0
44,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1
45,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0
46,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0
47,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
