Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0
2,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1
4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
5,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0
6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0
9,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
12,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
13,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0
14,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
16,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
17,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1
18,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
19,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
21,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
24,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
25,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
29,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
30,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1
31,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
32,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
33,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1
34,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
35,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
37,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
38,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
39,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
40,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
41,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
42,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
47,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
48,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
49,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
51,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
52,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
54,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
55,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
56,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
60,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
63,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
65,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
66,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
68,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
69,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
70,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
73,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
74,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
75,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
76,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
77,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0
78,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
79,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
81,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
82,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
83,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
84,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0
85,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
86,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
90,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
91,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
92,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
93,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
94,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
95,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
96,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1
97,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0
98,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
99,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
100,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
101,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
102,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
103,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
104,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
106,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
107,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
109,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
110,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
111,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
112,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
114,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
115,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
116,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
122,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
123,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
124,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
125,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
126,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
128,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
129,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
130,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0
131,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
132,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
133,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
134,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
135,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
136,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
137,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
140,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
142,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
143,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
144,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
145,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
146,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
147,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
150,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
