Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.8208333333333333,0.8604166666666667,0.05625,0.12083333333333333,0.8770833333333333,0.86875,0.058333333333333334,0.8375,0.8958333333333334,0.8229166666666666,0.11458333333333333,0.88125,0.09375,0.7770833333333333,0.1,0.1,0.1,0.8354166666666667,0.11041666666666666,0.10208333333333333
2,0.1,0.8604166666666667,0.05625,0.12083333333333333,0.8770833333333333,0.86875,0.88125,0.8375,0.8958333333333334,0.16458333333333333,0.8604166666666667,0.88125,0.09375,0.12708333333333333,0.1,0.1,0.8354166666666667,0.8354166666666667,0.11041666666666666,0.8645833333333334
3,0.1,0.8604166666666667,0.8354166666666667,0.12083333333333333,0.8770833333333333,0.86875,0.88125,0.8375,0.8958333333333334,0.1,0.8604166666666667,0.88125,0.825,0.1,0.1,0.8729166666666667,0.8354166666666667,0.8354166666666667,0.86875,0.8645833333333334
4,0.1,0.8604166666666667,0.8354166666666667,0.12083333333333333,0.8770833333333333,0.86875,0.88125,0.1,0.1,0.1,0.8604166666666667,0.88125,0.15,0.1,0.7979166666666667,0.8729166666666667,0.1,0.1,0.10416666666666667,0.8645833333333334
5,0.1,0.8604166666666667,0.8354166666666667,0.8125,0.8770833333333333,0.86875,0.88125,0.1,0.1,0.1,0.8604166666666667,0.88125,0.15,0.1,0.7979166666666667,0.8729166666666667,0.1,0.1,0.10416666666666667,0.1
6,0.1,0.8604166666666667,0.1,0.8125,0.1,0.86875,0.88125,0.1,0.1,0.1,0.8604166666666667,0.88125,0.1,0.1,0.1,0.8729166666666667,0.1,0.1,0.1,0.1
7,0.1,0.10833333333333334,0.1,0.8125,0.1,0.11041666666666666,0.88125,0.1,0.1,0.1,0.8604166666666667,0.1,0.1,0.1,0.1,0.8729166666666667,0.1,0.1,0.1,0.1
8,0.1,0.1,0.1,0.1,0.1,0.1,0.08958333333333333,0.1,0.1,0.0625,0.8604166666666667,0.1,0.1,0.1,0.1,0.8729166666666667,0.1,0.1,0.1,0.1
9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8604166666666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
10,0.1,0.1,0.1,0.1,0.08541666666666667,0.1,0.1,0.1,0.1,0.1,0.8604166666666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
