Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0
2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
4,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
5,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1
6,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
7,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
8,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1
9,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
10,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
12,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
13,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
16,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
23,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
24,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
