Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0
2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
3,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0
4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
9,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
10,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
11,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
14,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
15,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
16,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
18,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
19,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
20,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
21,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1
22,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0
23,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
24,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
27,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
28,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
30,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
32,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
34,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
35,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
37,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
38,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
39,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
40,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
