Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
2,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1
3,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1
4,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
6,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
9,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1
10,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
11,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
12,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1
13,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0
14,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
15,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
16,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1
17,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0
18,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
19,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0
20,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
21,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0
22,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
23,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
24,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
25,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
26,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
27,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
28,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
29,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
30,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
31,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
32,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
33,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
34,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
35,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
36,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
37,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1
38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0
40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
41,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0
42,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
43,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1
44,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1
46,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0
47,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
49,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1
50,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
51,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
52,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1
53,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
54,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
55,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0
56,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0
58,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0
60,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
61,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
63,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0
66,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
67,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
68,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0
69,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
73,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
74,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
75,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
76,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
78,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
79,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
80,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1
81,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
83,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
84,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
