Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0.7464788732394366,0.08947368421052632,0.5932203389830508,0.040983606557377046,0.8591549295774648,0.7830188679245284,0.6911764705882353,0.16463414634146342,0.20430107526881722,0.0875,0.7610619469026548,0.049019607843137254,0.6586826347305389,0.9098360655737705,0.011235955056179775,0.5423728813559322,0.0,0.047058823529411764,0.007407407407407408,0.75
2,0.7464788732394366,0.08947368421052632,0.4067796610169492,0.5983606557377049,0.3380281690140845,0.7830188679245284,0.6911764705882353,0.16463414634146342,0.8387096774193549,0.0875,0.7610619469026548,0.049019607843137254,0.6586826347305389,0.9098360655737705,0.7865168539325843,0.5423728813559322,0.7785714285714286,0.6470588235294118,0.6962962962962963,0.3333333333333333
3,0.49295774647887325,0.08947368421052632,0.4067796610169492,0.5983606557377049,0.14788732394366197,0.7830188679245284,0.6911764705882353,0.7865853658536586,0.8387096774193549,0.7875,0.7610619469026548,0.049019607843137254,0.2874251497005988,0.29508196721311475,0.7865168539325843,0.5423728813559322,0.7785714285714286,0.6470588235294118,0.6962962962962963,0.3333333333333333
4,0.676056338028169,0.8263157894736842,0.4067796610169492,0.5983606557377049,0.15492957746478872,0.7830188679245284,0.35294117647058826,0.7865853658536586,0.5161290322580645,0.13125,0.4247787610619469,0.7745098039215687,0.2874251497005988,0.29508196721311475,0.5393258426966292,0.5423728813559322,0.7785714285714286,0.6470588235294118,0.6962962962962963,0.3333333333333333
5,0.676056338028169,0.8263157894736842,0.4067796610169492,0.39344262295081966,0.15492957746478872,0.20754716981132076,0.35294117647058826,0.18292682926829268,0.5161290322580645,0.3,0.4247787610619469,0.7745098039215687,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.16470588235294117,0.31851851851851853,0.3333333333333333
6,0.676056338028169,0.8263157894736842,0.4067796610169492,0.39344262295081966,0.15492957746478872,0.20754716981132076,0.35294117647058826,0.18292682926829268,0.5161290322580645,0.3,0.4247787610619469,0.7745098039215687,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
7,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.3380281690140845,0.20754716981132076,0.35294117647058826,0.18292682926829268,0.5161290322580645,0.3,0.4247787610619469,0.7745098039215687,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
8,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.3380281690140845,0.20754716981132076,0.35294117647058826,0.15853658536585366,0.5161290322580645,0.3,0.4247787610619469,0.7745098039215687,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
9,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.19014084507042253,0.20754716981132076,0.35294117647058826,0.15853658536585366,0.5161290322580645,0.3,0.4247787610619469,0.08333333333333333,0.1317365269461078,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
10,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.15492957746478872,0.20754716981132076,0.35294117647058826,0.15853658536585366,0.5161290322580645,0.3,0.4247787610619469,0.11274509803921569,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
11,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.15492957746478872,0.20754716981132076,0.35294117647058826,0.18902439024390244,0.5161290322580645,0.3,0.4247787610619469,0.13725490196078433,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
12,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.3380281690140845,0.4528301886792453,0.35294117647058826,0.15853658536585366,0.5161290322580645,0.13125,0.4247787610619469,0.11274509803921569,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
13,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.3380281690140845,0.4528301886792453,0.35294117647058826,0.15853658536585366,0.5161290322580645,0.3,0.4247787610619469,0.11274509803921569,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
14,0.676056338028169,0.25263157894736843,0.4067796610169492,0.39344262295081966,0.3380281690140845,0.4528301886792453,0.35294117647058826,0.2926829268292683,0.5161290322580645,0.3,0.4247787610619469,0.23529411764705882,0.2874251497005988,0.39344262295081966,0.5393258426966292,0.4067796610169492,0.34285714285714286,0.5647058823529412,0.31851851851851853,0.3333333333333333
