Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1
2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
3,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
4,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
5,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
6,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
7,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1
8,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1
9,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0
10,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
11,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1
12,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
13,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0
14,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1
15,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
16,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
17,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0
18,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0
19,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
20,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
21,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0
22,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
23,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1
24,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1
25,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0
26,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
27,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
28,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
29,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1
30,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
31,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
32,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
33,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1
34,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
35,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
36,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1
37,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
38,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0
39,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
40,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0
41,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1
42,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1
43,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1
44,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
45,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1
46,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
47,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
48,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0
49,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
50,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
51,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
52,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
53,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
54,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
55,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0
56,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1
57,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
58,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0
59,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
60,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0
61,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
62,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1
63,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1
64,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
65,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0
66,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1
67,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0
68,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
69,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1
70,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
71,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
72,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
73,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1
74,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0
75,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1
76,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1
77,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0
78,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0
79,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
80,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
81,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1
82,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0
83,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
84,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
85,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
86,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
87,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1
88,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0
89,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
90,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
91,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
92,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
93,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
94,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0
95,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
96,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0
97,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1
99,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0
100,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1
101,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
102,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
103,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
104,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
105,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0
106,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
107,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1
108,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
109,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
110,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
111,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
112,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
113,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
114,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
115,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
116,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
117,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1
118,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
119,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
120,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0
121,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
122,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
123,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
124,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
125,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
126,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1
127,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1
128,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
129,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1
130,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
131,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1
132,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0
133,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
134,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
135,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1
136,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
137,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
138,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
139,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0
140,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
141,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
142,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
143,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
144,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
145,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1
146,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
147,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
148,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0
149,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
150,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0
