Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0
2,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
3,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0
4,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
7,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1
8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
10,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
11,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
12,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0
13,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1
14,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
15,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
16,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
17,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
18,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0
19,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0
20,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1
21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
22,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0
23,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0
24,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
26,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
27,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
28,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
29,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
30,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
31,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1
32,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
33,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
35,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
36,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0
37,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0
38,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1
39,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
40,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
