Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0
2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1
3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0
5,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0
6,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0
7,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
8,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1
9,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
10,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
11,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0
12,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0
13,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
14,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
15,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1
16,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1
17,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
18,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1
19,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1
20,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1
21,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1
22,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
23,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1
24,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1
25,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1
26,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
27,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1
28,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0
29,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1
