Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1
2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
3,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0
4,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1
5,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1
6,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0
7,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
8,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1
9,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
10,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1
11,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
12,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
13,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1
14,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
15,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
16,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
17,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0
18,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
19,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0
20,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
21,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
23,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
24,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
25,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1
26,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
27,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
28,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0
29,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
31,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
32,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
35,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
