Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0
1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1
2,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0
3,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
4,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
5,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0
6,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0
7,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0
8,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
9,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
10,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1
11,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0
12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
13,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
15,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
16,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
17,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
18,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0
19,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0
20,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0
21,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
