Client,p2
Client 1,0.9049053077765253
Client 2,0.9087764931477896
Client 3,0.11679394916744934
Client 4,0.36692396452045495
Client 5,0.3691060970464817
Client 6,0.057012908208452284
Client 7,0.9925217077147244
Client 8,0.678394899378486
Client 9,0.808284115988364
Client 10,0.9388967524811115
Client 11,0.14350641041764012
Client 12,0.5036551904267444
Client 13,0.39163836092237925
Client 14,0.0019424889738913764
Client 15,0.5228876334217316
Client 16,0.9126888338997146
Client 17,0.18040650302972427
Client 18,0.29961001280862576
Client 19,0.47757546904547876
Client 20,0.21060667246976517
