Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
2,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1
3,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
4,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
6,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
8,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
9,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
11,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1
13,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
14,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
16,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
17,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
20,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
22,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1
23,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
24,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0
25,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
26,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
