Client,p2
Client 1,0.2738852367547806
Client 2,0.09744226858580674
Client 3,0.8585915801623254
Client 4,0.7923554732872675
Client 5,0.7671693885197635
Client 6,0.3819266107285989
Client 7,0.20870141577815915
Client 8,0.6402571034064375
Client 9,0.517070353549699
Client 10,0.07478546788660845
Client 11,0.012950956177481765
Client 12,0.7548931246883102
Client 13,0.06344213678983934
Client 14,0.40013923761784564
Client 15,0.09044697222805687
Client 16,0.7695891285284455
Client 17,0.6301772010337555
Client 18,0.6034778434530744
Client 19,0.41603254479844354
Client 20,0.27453573915205953
