Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1
2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
3,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1
4,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1
5,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1
6,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1
7,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
8,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
9,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1
10,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1
11,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
12,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
13,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1
14,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1
15,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
16,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1
17,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1
18,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
19,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
20,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
21,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
22,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
23,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1
24,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0
25,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1
26,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
27,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
28,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1
29,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
30,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
31,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1
32,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1
33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1
35,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
36,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
37,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
38,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
39,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
40,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
41,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
42,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
44,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1
45,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
46,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0
47,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
48,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0
49,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
50,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
51,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
52,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
54,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
55,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
56,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
57,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0
