Client,p2
Client 1,0.14654230254992018
Client 2,0.2744123645569796
Client 3,0.11899729719847463
Client 4,0.9707348345474469
Client 5,0.3887080430423049
Client 6,0.22629890417067844
Client 7,0.8419911461294686
Client 8,0.3529418428304857
Client 9,0.00906342419093309
Client 10,0.47635549092504537
Client 11,0.18012830963465964
Client 12,0.037674960930142665
Client 13,0.9294834284178499
Client 14,0.31199248296337145
Client 15,0.4071746086244781
Client 16,0.1491252912850517
Client 17,0.387929071150276
Client 18,0.475228383742893
Client 19,0.9678979163543749
Client 20,0.6757641424220259
