Round,Client 2,Client 3,Client 4,Client 5,Client 7,Client 8,Client 14,Client 19,Client 13,Client 17,Client 20,Client 15,Client 18,Client 6,Client 11,Client 1,Client 10,Client 16,Client 12
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,
1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2,,,1.0,1.0,0.2716814605173408,0.31075514251730224,,,0.27083378114209117,,,1.0,1.0,,,,,,
3,0.28471972603691026,1.0,,0.28206295169381546,0.2716814605173408,0.25843139933542364,,0.30025444914408245,0.27083378114209117,0.2674694298797476,0.25843139933542364,0.31172777127858114,0.27595982098597316,1.0,1.0,,,,
4,,,0.26830657921268075,,0.2716814605173408,,0.26250110170180724,0.24353368725792068,,0.2674694298797476,0.25843139933542364,0.2465969639416065,0.27595982098597316,,0.2699887466301378,1.0,,,
5,0.27424045073375364,,,,0.2716814605173408,,,0.24353368725792068,0.27083378114209117,0.2674694298797476,0.25843139933542364,0.2465969639416065,0.27595982098597316,0.2725317930340126,0.275098792602947,,1.0,,
6,0.24582755126274922,,0.26830657921268075,,0.2716814605173408,,0.26250110170180724,0.24353368725792068,0.27083378114209117,0.2674694298797476,0.25843139933542364,0.2465969639416065,,0.2725317930340126,0.275098792602947,,,,
7,,,,,0.2716814605173408,,,,0.2576250617711437,0.2674694298797476,0.25843139933542364,,,0.2725317930340126,,,0.2865047968601901,,
8,,,0.26005165360159,0.28206295169381546,0.2716814605173408,,0.26250110170180724,0.24353368725792068,0.2592402606458915,0.25126427633230797,0.25843139933542364,0.2412612277378443,,,,,,,
9,,,,,0.2504803010681203,,0.26250110170180724,,0.2412612277378443,,0.25843139933542364,0.2412612277378443,0.27595982098597316,,,,0.2865047968601901,,
10,0.24582755126274922,,0.26005165360159,,0.2504803010681203,,,,0.24582755126274922,0.25126427633230797,0.25843139933542364,0.2360409434049449,0.27595982098597316,,,0.2699887466301378,,,
11,0.24582755126274922,,,,0.2504803010681203,,,0.24353368725792068,0.24582755126274922,0.25522111293423355,0.25843139933542364,,0.25522111293423355,,0.275098792602947,,,,
12,,,0.26005165360159,,0.2504803010681203,,0.26250110170180724,,0.2465969639416065,,0.25843139933542364,,,,,0.2699887466301378,0.2865047968601901,,
13,,,0.26005165360159,,0.24582755126274922,,0.26250110170180724,0.24353368725792068,0.2465969639416065,0.25522111293423355,0.24582755126274922,0.2360409434049449,0.25522111293423355,0.2725317930340126,,0.2699887466301378,,,
