Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1
1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1
2,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1
3,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
4,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
5,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1
6,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
7,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1
8,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0
9,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0
10,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0
11,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1
12,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1
13,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
14,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
15,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
16,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
17,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1
18,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
19,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
20,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0
21,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
22,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1
23,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1
24,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
25,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
26,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1
27,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0
28,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0
29,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0
30,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
31,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1
