Client,p2
Client 1,0.7383346533150449
Client 2,0.2543026429189523
Client 3,0.9930018257514146
Client 4,0.45205036180630265
Client 5,0.054901555617157705
Client 6,0.3420667448742344
Client 7,0.3880844929852041
Client 8,0.2543468302687649
Client 9,0.6207821743762617
Client 10,0.7701447183726152
Client 11,0.4620990855433338
Client 12,0.6719051136446694
Client 13,0.050100079049186674
Client 14,0.4214281656263219
Client 15,0.9438311977152202
Client 16,0.5111580749224698
Client 17,0.8648544462474759
Client 18,0.9448171530223128
Client 19,0.17107614373362
Client 20,0.9309089455023609
