Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
2,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
4,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0
5,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1
6,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
8,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0
9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
10,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0
11,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1
12,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
13,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1
14,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1
15,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0
16,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1
17,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0
18,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
19,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0
20,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1
21,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1
22,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1
23,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
24,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
25,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
26,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0
27,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
28,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1
29,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0
30,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
31,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1
32,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1
33,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0
34,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0
35,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
36,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
37,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
38,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1
39,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0
40,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0
41,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
42,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
43,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
44,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0
45,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
46,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0
47,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
48,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
