Client,p2
Client 1,0.3297598116169319
Client 2,0.18739076040229297
Client 3,0.739194758150598
Client 4,0.5734738740998402
Client 5,0.12170715263283705
Client 6,0.40852334831366466
Client 7,0.8539974232335379
Client 8,0.22168228190676298
Client 9,0.7724758930878886
Client 10,0.15286948230764152
Client 11,0.3941020737275104
Client 12,0.8336567228393978
Client 13,0.4673462666842747
Client 14,0.3393348242811014
Client 15,0.4676724273659274
Client 16,0.2539609925904631
Client 17,0.5159653678943119
Client 18,0.004665384042073617
Client 19,0.5054133970997814
Client 20,0.390207781920886
