Round,Client 2,Client 9,Client 12,Client 18,Client 4,Client 6,Client 7,Client 15,Client 17,Client 3,Client 8,Client 11,Client 20,Client 14,Client 19,Client 1,Client 13,Client 16,Client 10,Client 5
0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,
1,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
2,,0.2888246611339821,1.0,0.3175694248747441,0.3226627751333276,,0.32465246735834974,,,1.0,1.0,1.0,1.0,,,,,,,
3,,0.2888246611339821,,0.3175694248747441,,,,0.34005371607556145,,,,,0.2925362563476029,1.0,1.0,,,,,
4,,,0.33434287681199787,0.3175694248747441,0.3226627751333276,0.31783388239579613,0.32465246735834974,0.30734779776222976,,0.3757566474622025,0.28563263681369133,,,0.2683203247788661,0.36787944117144233,1.0,,,,
5,,0.24979947719340553,0.33434287681199787,0.3175694248747441,,,,0.28250897928525587,,,,0.3550849472552803,0.2925362563476029,0.2461930378011307,,0.28751539474492843,1.0,,,
6,,,0.33434287681199787,0.3175694248747441,,0.31783388239579613,0.32465246735834974,,0.32465246735834974,0.3757566474622025,,,,,0.291319891133471,,,,,
7,,0.32860356453166256,,0.3175694248747441,0.3226627751333276,,0.32465246735834974,,,,,,,0.2343780961438051,,,,1.0,,
8,,,0.33434287681199787,0.3175694248747441,,,0.27213130553371184,,0.301194211912202,0.3757566474622025,,0.28713935872036445,,0.2343780961438051,0.291319891133471,,0.3028217960182691,,,
9,,0.32860356453166256,,0.2806664752840058,,,0.27213130553371184,,,,,,0.2925362563476029,,,,,,,
10,,,0.2886192138436788,0.2806664752840058,0.27840217874791306,0.31783388239579613,,,,0.3105247950933616,,,,0.2343780961438051,0.291319891133471,,0.3028217960182691,,1.0,
11,,0.32860356453166256,,0.2806664752840058,,,0.27213130553371184,,0.301194211912202,,0.28563263681369133,0.28713935872036445,0.26914634872918386,0.2343780961438051,,,,0.3757566474622025,0.2983837109833227,
12,,0.24979947719340553,0.2886192138436788,0.2856633736865365,0.27840217874791306,,,0.28250897928525587,,0.2734571972160854,0.28563263681369133,,0.26359713811572677,0.2343780961438051,,,,,,
13,,0.2621837520305872,,0.2806664752840058,,,0.275149366882169,0.28250897928525587,0.2854833904684958,,,,0.26359713811572677,0.2343780961438051,,0.28751539474492843,,0.29140219651253474,,
14,,,0.2886192138436788,0.25246804613498647,,,0.275149366882169,,0.2854833904684958,0.2734571972160854,,0.279616492814498,0.26086558612628497,0.2343780961438051,,,0.3028217960182691,,,
15,0.3471859592915617,0.24979947719340553,,0.25246804613498647,0.27840217874791306,0.29612277445952045,,0.28731071699579763,,,,,,0.2461930378011307,0.291319891133471,0.28751539474492843,0.27433283770136674,,,
16,0.2872597497753425,,0.2886192138436788,0.25246804613498647,,,0.275149366882169,0.28731071699579763,0.27645304662956444,,,0.279616492814498,0.26086558612628497,0.23151404121506344,,0.28751539474492843,,,,
