Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
2,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1
3,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1
4,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1
5,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1
6,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
7,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0
8,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0
9,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
10,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1
11,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
12,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1
13,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1
14,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0
15,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0
16,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0
17,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0
18,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
19,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0
20,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
21,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
22,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
23,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1
24,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1
25,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0
26,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1
27,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1
28,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
29,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0
30,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
