Client,p1
Client 1,0.49539510126332786
Client 2,0.9603649956948874
Client 3,0.6818065015518
Client 4,0.723875408312848
Client 5,0.44223141297134105
Client 6,0.5104446933044862
Client 7,0.42206273365393554
Client 8,0.676257578628398
Client 9,0.5288816506258542
Client 10,0.6493824974883319
Client 11,0.22764019097662247
Client 12,0.5151205700679662
Client 13,0.7329875027359394
Client 14,0.8572259771126979
Client 15,0.5291151963371084
Client 16,0.6801481397789588
Client 17,0.21038323256590186
Client 18,0.20941717409527494
Client 19,0.5527491441056851
Client 20,0.2591857618161407
