Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
2,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0
3,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1
4,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0
5,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
6,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
7,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0
8,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
10,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0
11,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1
12,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0
13,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1
14,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
15,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1
16,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0
17,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1
18,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0
19,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
20,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0
21,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
22,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
23,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1
24,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
25,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
26,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
27,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0
28,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1
29,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0
30,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1
