Client,p1
Client 1,0.04870086522951256
Client 2,0.23900805770192768
Client 3,0.9186627861363539
Client 4,0.3511370406357801
Client 5,0.6096440288480572
Client 6,0.07689673954021736
Client 7,0.4739786836548172
Client 8,0.3293442424613038
Client 9,0.5589853171685244
Client 10,0.20993039454750229
Client 11,0.5923930940823414
Client 12,0.2986841630789816
Client 13,0.07768531113115273
Client 14,0.9616514001638367
Client 15,0.050439773830791235
Client 16,0.2054525928779002
Client 17,0.7782123973703784
Client 18,0.24654275532117054
Client 19,0.6076226778659692
Client 20,0.8715687708747072
