Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1
1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0
2,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
3,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0
4,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1
5,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
6,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0
7,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0
8,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
9,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
10,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
11,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
12,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0
13,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0
14,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
15,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0
16,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1
17,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
18,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0
19,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
20,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
21,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1
22,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
23,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
24,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
25,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0
26,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0
27,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0
28,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1
29,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0
30,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
31,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
32,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0
33,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0
34,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
35,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
36,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0
37,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0
38,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1
39,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0
40,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1
41,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
42,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
43,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
44,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0
45,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1
46,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0
47,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0
48,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0
49,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
50,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
51,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1
52,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
53,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
54,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0
55,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
56,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0
57,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0
58,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
59,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0
60,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
