Client,p1
Client 1,0.04359830988008606
Client 2,0.8016273853448529
Client 3,0.35266217543947065
Client 4,0.7538265355295196
Client 5,0.5626954731561171
Client 6,0.5267607108139812
Client 7,0.9399982036924307
Client 8,0.09481326412528279
Client 9,0.7146465744131596
Client 10,0.14235132268008355
Client 11,0.025878098311875486
Client 12,0.5838778769006321
Client 13,0.6315321088815121
Client 14,0.6162836469425624
Client 15,0.28892625628346913
Client 16,0.8309620435725626
Client 17,0.3132037487109418
Client 18,0.20545801482110515
Client 19,0.13758818928427108
Client 20,0.758459048443029
