Round,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13,Client 14,Client 15,Client 16,Client 17,Client 18,Client 19,Client 20
0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0
2,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0
3,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
4,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0
5,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0
7,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0
8,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1
9,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0
10,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
11,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0
12,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
13,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0
14,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
15,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
16,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
17,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
18,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
19,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0
20,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
21,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0
22,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
23,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0
24,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
25,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
26,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
27,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0
28,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
29,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
30,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
31,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
32,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0
33,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0
