Client,p2
Client 1,0.929934015507034
Client 2,0.15550376926972587
Client 3,0.7716097509707133
Client 4,0.10584167952364232
Client 5,0.023645884432845765
Client 6,0.47706134576682846
Client 7,0.37624102704769746
Client 8,0.9645671028630327
Client 9,0.2581513668342871
Client 10,0.17969230255616686
Client 11,0.7307666389948179
Client 12,0.2706908274492189
Client 13,0.9240409879944731
Client 14,0.4658247681613803
Client 15,0.2770538979630095
Client 16,0.34927934870626753
Client 17,0.1430251161640047
Client 18,0.5130701265460519
Client 19,0.12821794061332703
Client 20,0.06827424254565839
